     Datum; ;        Gewinnzahlen;ZZ;S;Spiel77;Super6;  Spieleinsatz;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
09.03.2022; ;36;18;19;38;28; 8;--;--;4;4635561;382489; 27.132.321,60;   Jackpot;18.632.454,70;         4;   366.781,60;        52;     9.780,80;       601;     2.522,50;     2.661;       158,00;    25.631;        38,90;    36.813;        23,10;   342.898;        11,70;   291.732;         6,00
12.03.2022; ;32; 9;35;36; 1;20;--;--;1;3980814;004686; 50.889.504,00;   Jackpot;22.449.167,50;         1; 2.812.192,30;        61;    15.981,80;       589;     4.933,60;     3.402;       236,90;    32.021;        59,70;    62.585;        26,00;   609.803;        12,60;   480.015;         6,00
16.03.2022; ;19; 6; 1;16; 8;40;--;--;0;6600947;066155; 28.114.044,00;   Jackpot;24.557.720,80;         3;   517.882,30;        63;     8.549,10;       690;     2.326,70;     2.567;       173,50;    28.998;        36,40;    39.864;        22,60;   453.656;         9,30;   265.137;         6,00
19.03.2022; ;17; 5; 1;28;26;41;--;--;5;2179072;452121; 51.687.358,80;   Jackpot;28.434.272,70;         2; 1.349.816,80;       110;     8.507,90;       851;     3.278,00;     5.544;       139,50;    42.171;        43,50;    94.359;        16,50;   744.458;         9,90;   661.595;         6,00
23.03.2022; ;43;15; 3;12;30;39;--;--;8;7580327;494508; 29.512.640,40;   Jackpot;30.647.720,70;         5;   314.551,00;        56;     9.736,10;       480;     3.385,70;     2.533;       177,90;    21.580;        49,50;    45.230;        20,10;   379.790;        11,30;   342.973;         6,00
26.03.2022; ;46;19;14;48;16;45;--;--;4;1044874;971699; 52.892.703,60;   Jackpot;34.614.673,40;         1; 2.896.508,20;        51;    19.688,60;       404;     7.408,50;     3.046;       272,50;    26.281;        74,90;    63.869;        26,30;   570.975;        13,80;   528.224;         6,00
30.03.2022; ;34;27;41;12;13; 6;--;--;3;2802938;115140; 30.519.298,80;   Jackpot;36.903.620,80;         5;   320.445,60;       163;     3.407,60;     1.548;     1.069,50;     2.790;       164,60;    22.351;        48,70;    49.085;        18,90;   402.374;        10,90;   381.530;         6,00
02.04.2022; ;40;14;46;38;49;37;--;--;2;7034776;876839; 56.925.067,20;   Jackpot;41.173.000,80;         2; 1.581.963,40;        55;    19.942,30;       539;     6.065,60;     3.067;       295,70;    30.772;        69,90;    62.605;        29,30;   612.361;        14,10;   516.718;         6,00
06.04.2022; ;29;24;31;22;19; 2;--;--;6;3041838;005492; 33.753.716,40;   Jackpot;43.704.529,50;         3;   590.054,10;        52;    11.801,00;       382;     4.788,30;     2.832;       179,10;    22.664;        53,10;    55.969;        18,30;   443.942;        10,90;   424.041;         6,00
09.04.2022; ;33;17;27;45; 5;43;--;--;6;4841318;297498; 59.235.235,20;   Jackpot;48.147.172,10;         5;   633.655,60;       130;     8.448,70;     1.256;     2.606,50;     5.646;       160,80;    52.362;        41,10;    93.501;        19,60;   855.062;        10,10;   675.520;         6,00
13.04.2022; ; 2;42;22; 7;29;46;--;--;2;0864560;733085; 52.205.137,20;         1;45.000.000,00;        --;           --;        74;   146.908,50;       676;     4.323,20;     4.066;       199,30;    36.602;        52,50;    74.221;        22,10;   673.424;        11,50;   555.394;         6,00
16.04.2022; ;14;44; 8;19;24; 7;--;--;4;1744814;839032; 48.295.088,40;   Jackpot; 3.622.131,60;         1; 2.577.309,30;       107;     8.350,10;       926;     2.876,00;     4.594;       160,80;    41.573;        42,10;    79.677;        18,70;   724.690;         9,70;   557.225;         6,00
20.04.2022; ;35;10;20;16;19;44;--;--;3;7617372;015486; 22.967.462,40;   Jackpot; 5.344.691,20;   Jackpot; 1.231.854,20;        25;    17.081,70;       183;     6.955,80;     1.572;       224,60;    13.400;        62,50;    32.558;        21,90;   284.855;        11,80;   258.135;         6,00
23.04.2022; ;47;32;29;13;34;38;--;--;6;0444123;347684; 46.018.592,40;   Jackpot; 8.796.085,60;         1; 3.730.286,80;        74;    11.704,30;       658;     3.923,50;     3.836;       186,70;    34.371;        49,40;    65.511;        22,10;   581.378;        11,70;   483.614;         6,00
27.04.2022; ;25; 3;17;19;46;40;--;--;8;2789905;724666; 24.210.321,60;         1;11.892.994,20;        --;           --;        51;     8.708,30;       378;     3.502,20;     2.300;       159,60;    21.750;        40,00;    40.777;        18,20;   377.683;         9,20;   291.415;         6,00
30.04.2022; ;25;14;48;20;44; 2;--;--;1;8502879;162900; 45.279.349,20;   Jackpot; 3.395.951,10;   Jackpot; 2.535.427,10;        33;    26.634,70;       459;     5.707,90;     2.562;       283,60;    25.763;        66,90;    48.332;        30,40;   510.170;        13,60;   390.146;         6,00
04.05.2022; ; 3;49;11;31;41; 4;--;--;2;7352853;155843; 23.579.038,80;         1; 5.164.379,00;         3; 1.269.837,60;        35;    12.619,50;       389;     3.384,40;     2.099;       174,00;    22.698;        38,10;    35.624;        20,70;   388.189;         8,90;   254.531;         6,00
07.05.2022; ; 5;14;43;35;34;26;--;--;2;9872624;458066; 44.485.616,40;   Jackpot; 3.336.421,20;         2; 1.245.081,80;        36;    23.979,30;       405;     6.353,50;     2.165;       329,70;    22.526;        75,10;    45.154;        31,90;   459.842;        14,80;   384.216;         6,00
11.05.2022; ;25;28;27;24;45; 2;--;--;4;0610745;204550; 26.594.512,80;   Jackpot; 5.331.009,60;   Jackpot; 1.429.352,90;        29;    17.086,50;       253;     5.837,90;     1.902;       215,40;    16.769;        57,90;    36.678;        22,60;   323.754;        12,00;   295.608;         6,00
14.05.2022; ;49;37;25;34;39;30;--;--;9;6770522;079518; 46.760.667,60;   Jackpot; 8.838.059,60;         6;   660.259,30;        81;    10.837,40;       762;     3.433,80;     4.112;       176,50;    36.700;        46,90;    67.025;        21,90;   599.526;        11,50;   498.655;         6,00
18.05.2022; ; 8;10;41;25;45;43;--;--;6;4921131;494655; 23.423.202,00;   Jackpot;10.594.799,70;         2;   626.676,90;        26;    16.711,30;       273;     4.744,00;     1.670;       215,10;    14.836;        57,40;    33.918;        21,40;   290.692;        11,80;   266.528;         6,00
